name	date	definitionName	definitionId	definitionDockerRepository	definitionDockerImageTag	definitionDocumentationUrl	definitionIcon	definitionSourceType	definitionReleaseStage	scrapeDescription	scrapeUrl
source-firebolt	2022-06-18	Firebolt	6f2ac653-8623-43c4-8950-19218c7caf3d	airbyte/source-firebolt	0.1.0	https://docs.airbyte.com/integrations/sources/firebolt	undefined	database	alpha	Firebolt: Cloud Data Warehouse For Engineers	https://www.firebolt.io/
source-flexport	2022-01-21	Flexport	f95337f1-2ad1-4baf-922f-2ca9152de630	airbyte/source-flexport	0.1.0	https://docs.airbyte.com/integrations/sources/flexport	undefined	api	alpha	The Flexport Platform is your supply chain source of truth. Automate orders. Onboard suppliers. Book logistics. Track cargo—even if other partners handle it ...	https://www.flexport.com/
source-freshcaller	2022-08-11	Freshcaller	8a5d48f6-03bb-4038-a942-a8d3f175cca3	airbyte/source-freshcaller	0.1.0	https://docs.airbyte.com/integrations/sources/freshcaller	undefined	undefined	undefined	Freshdesk Contact Center (formerly Freshcaller) - Freshworkshttp://freshcaller.com	http://freshcaller.com/
source-freshdesk	2020-12-01	Freshdesk	ec4b9503-13cb-48ab-a4ab-6ade4be46567	airbyte/source-freshdesk	0.3.6	https://docs.airbyte.com/integrations/sources/freshdesk	freshdesk.svg	api	generally_available	Online cloud-based customer service software providing helpdesk support with all smart automations to get things done faster.	https://freshdesk.com/
source-freshsales	2021-11-03	Freshsales	eca08d79-7b92-4065-b7f3-79c14836ebe7	airbyte/source-freshsales	0.1.2	https://docs.airbyte.com/integrations/sources/freshsales	freshsales.svg	api	alpha	Sales CRM Made Easy By Freshworks - Freshsales	https://www.freshworks.com/crm/sales/
source-freshservice	2021-10-29	Freshservice	9bb85338-ea95-4c93-b267-6be89125b267	airbyte/source-freshservice	0.1.1	https://docs.airbyte.com/integrations/sources/freshservice	freshservice.svg	api	alpha	Freshservice Cloud based ITSM software for your service desk with powerful automation tool to manage incidents, assets and more ✓ Try Freshservice ITSM ...	https://freshservice.com/
source-github	2021-07-07	GitHub	ef69ef6e-aa7f-4af1-a01d-ef775033524e	airbyte/source-github	0.3.7	https://docs.airbyte.com/integrations/sources/github	github.svg	api	generally_available	GitHub is where over 83 million developers shape the future of software, together. Contribute to the open source community, manage your Git repositories, ...	https://github.com/
source-gitlab	2021-07-06	Gitlab	5e6175e5-68e1-4c17-bff9-56103bbb0d80	airbyte/source-gitlab	0.1.6	https://docs.airbyte.com/integrations/sources/gitlab	gitlab.svg	api	alpha	GitLab: The One DevOps Platformhttps://about.gitlab.com	https://about.gitlab.com/
source-glassfrog	2022-07-27	Glassfrog	cf8ff320-6272-4faa-89e6-4402dc17e5d5	airbyte/source-glassfrog	0.1.0	https://docs.airbyte.com/integrations/sources/glassfrog	glassfrog.svg	api	alpha	GlassFroghttps://www.glassfrog.com	https://www.glassfrog.com/
source-gocardless	2022-10-20	GoCardless	ba15ac82-5c6a-4fb2-bf24-925c23a1180c	airbyte/source-gocardless	0.1.0	https://docs.airbyte.com/integrations/sources/gocardless	undefined	api	alpha	GoCardless collects direct bank payments. Meaning no card fees. And with all that wasted admin time cut away, the savings really stack up.	https://gocardless.com/
source-google-ads	2021-06-14	Google Ads	253487c0-2246-43ba-a21f-5116b20a2c50	airbyte/source-google-ads	0.2.3	https://docs.airbyte.com/integrations/sources/google-ads	google-adwords.svg	api	generally_available	Google Ads - Get More Customers & Generate Leads with ...	https://ads.google.com/home/
source-google-analytics-data-api	2022-06-28	Google Analytics Data API (GA4)	3cc2eafd-84aa-4dca-93af-322d9dfeec1a	airbyte/source-google-analytics-data-api	0.0.3	https://docs.airbyte.com/integrations/sources/google-analytics-v4	google-analytics.svg	api	alpha	The Google Analytics Data API v1 gives you programmatic access to Google Analytics 4 (GA4) report data. Google Analytics 4 helps you understand how people use your web, iOS, or Android app.	https://developers.google.com/analytics/devguides/reporting/data/v1
source-google-analytics-v4	2021-08-26	Google Analytics (Universal Analytics)	eff3616a-f9c3-11eb-9a03-0242ac130003	airbyte/source-google-analytics-v4	0.1.31	https://docs.airbyte.com/integrations/sources/google-analytics-universal-analytics	google-analytics.svg	api	generally_available	This connector supports Universal Analytics properties through the Reporting API v4.	https://developers.google.com/analytics/devguides/reporting/core/v4
source-google-directory	2021-03-12	Google Directory	d19ae824-e289-4b14-995a-0632eb46d246	airbyte/source-google-directory	0.1.9	https://docs.airbyte.com/integrations/sources/google-directory	googledirectory.svg	api	alpha	Directory: Categories of Topics - Google Guide	https://www.googleguide.com/directory.html
source-google-search-console	2021-09-10	Google Search Console	eb4c9e00-db83-4d63-a386-39cfa91012a8	airbyte/source-google-search-console	0.1.18	https://docs.airbyte.com/integrations/sources/google-search-console	googlesearchconsole.svg	api	generally_available	Google Search Console Tools	https://search.google.com/search-console/about
source-google-sheets	2020-10-29	Google Sheets	71607ba1-c0ac-4799-8049-7f4b90dd50f7	airbyte/source-google-sheets	0.2.21	https://docs.airbyte.com/integrations/sources/google-sheets	google-sheets.svg	file	generally_available	Google Sheets: Online Spreadsheet Editor	https://www.google.com/sheets/about/
source-google-webfonts	2022-10-29	Google Webfonts	a68fbcde-b465-4ab3-b2a6-b0590a875835	airbyte/source-google-webfonts	0.1.0	https://docs.airbyte.com/integrations/sources/google-webfonts	googleworkpace.svg	api	alpha	Fonts - Google Developers	https://developers.google.com/fonts
source-google-workspace-admin-reports	2021-04-01	Google Workspace Admin Reports	ed9dfefa-1bbc-419d-8c5e-4d78f0ef6734	airbyte/source-google-workspace-admin-reports	0.1.8	https://docs.airbyte.com/integrations/sources/google-workspace-admin-reports	googleworkpace.svg	api	alpha	The Reports API is a RESTful API you can use to access information about the Google Workspace activities of your users. The Reports API is part of the Google Workspace Admin Console SDK.	https://developers.google.com/admin-sdk/reports/v1/get-start/overview
source-greenhouse	2020-12-05	Greenhouse	59f1e50a-331f-4f09-b3e8-2e8d4d355f44	airbyte/source-greenhouse	0.3.0	https://docs.airbyte.com/integrations/sources/greenhouse	greenhouse.svg	api	generally_available	Greenhouse: Applicant tracking system & recruiting softwarehttp://greenhouse.com	http://greenhouse.com/
source-gutendex	2022-10-21	Gutendex	bff9a277-e01d-420d-81ee-80f28a307318	airbyte/source-gutendex	0.1.0	https://docs.airbyte.com/integrations/sources/gutendex	undefined	api	alpha	Gutendexhttps://gutendex.com	https://gutendex.com/
source-harvest	2021-06-07	Harvest	fe2b4084-3386-4d3b-9ad6-308f61a6f1e6	airbyte/source-harvest	0.1.11	https://docs.airbyte.com/integrations/sources/harvest	harvest.svg	api	generally_available	HARVEST.com: Homehttp://harvest.com	http://harvest.com/
source-hellobaton	2022-01-14	Hellobaton	492b56d1-937c-462e-8076-21ad2031e784	airbyte/source-hellobaton	0.1.0	https://docs.airbyte.com/integrations/sources/hellobaton	undefined	api	alpha	Baton: for Software Implementations and Onboardingshttps://www.hellobaton.com	https://www.hellobaton.com/
source-hubplanner	2022-08-10	Hubplanner	8097ceb9-383f-42f6-9f92-d3fd4bcc7689	airbyte/source-hubplanner	0.1.0	https://docs.airbyte.com/integrations/sources/hubplanner	undefined	api	alpha	Hub Planner: Resource Management, Scheduling ...https://hubplanner.com	https://hubplanner.com/
source-hubspot	2021-03-20	HubSpot	36c891d9-4bd9-43ac-bad2-10e12756272c	airbyte/source-hubspot	0.2.2	https://docs.airbyte.com/integrations/sources/hubspot	hubspot.svg	api	generally_available	HubSpot's integrated CRM platform contains the marketing, sales, service, operations, and website-building software you need to grow your business.	https://www.hubspot.com/
source-insightly	2022-10-20	Insightly	38f84314-fe6a-4257-97be-a8dcd942d693	airbyte/source-insightly	0.1.0	https://docs.airbyte.com/integrations/sources/insightly	undefined	api	alpha	Our CRM software can help your sales team build customer relationships, quickly create personalized marketing campaigns, and automate business processes.	https://www.insightly.com/
source-instagram	2021-03-13	Instagram	6acf6b55-4f1e-4fca-944e-1a3caef8aba8	airbyte/source-instagram	1.0.0	https://docs.airbyte.com/integrations/sources/instagram	instagram.svg	api	generally_available	Create an account or log in to Instagram - A simple, fun & creative way to capture, edit & share photos, videos & messages with friends & family.	https://www.instagram.com/
source-intercom	2021-07-19	Intercom	d8313939-3782-41b0-be29-b3ca20d8dd3a	airbyte/source-intercom	0.1.29	https://docs.airbyte.com/integrations/sources/intercom	intercom.svg	api	generally_available	Build lasting customer relationships with Intercom, the Engagement OS.	https://www.intercom.com/
source-iterable	2021-04-20	Iterable	2e875208-0c0b-4ee4-9e92-1cb3156ea799	airbyte/source-iterable	0.1.21	https://docs.airbyte.com/integrations/sources/iterable	iterable.svg	api	generally_available	Iterable is a cross-channel marketing platform that powers unified customer experiences and empowers you to create, optimize and measure every interaction ...	https://iterable.com/
source-jdbc	2020-10-30	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Lesson: JDBC Basics - Java™ Tutorials	https://docs.oracle.com/javase/tutorial/jdbc/basics/index.html
source-jira	2020-12-10	Jira	68e63de2-bb83-4c7e-93fa-a8a9051e3993	airbyte/source-jira	0.2.22	https://docs.airbyte.com/integrations/sources/jira	jira.svg	api	alpha	Plan, track, and manage your agile and software development projects in Jira. Customize your workflow, collaborate, and release great software.	http://jira.com/
source-kafka	2021-09-23	Kafka	d917a47b-8537-4d0d-8c10-36a9928d4265	airbyte/source-kafka	0.2.0	https://docs.airbyte.com/integrations/sources/kafka	kafka.svg	database	alpha	kafka.comhttp://www.kafka.com	http://www.kafka.com/
source-klaviyo	2021-05-20	Klaviyo	95e8cffd-b8c4-4039-968e-d32fb4a69bde	airbyte/source-klaviyo	0.1.10	https://docs.airbyte.com/integrations/sources/klaviyo	klaviyo.svg	api	generally_available	Klaviyo, an ecommerce marketing automation platform for email marketing and sms syncs your tech stack with your website store to scale your business.	https://www.klaviyo.com/
source-kustomer-singer	2021-08-05	Kustomer	cd06e646-31bf-4dc8-af48-cbc6530fcad3	airbyte/source-kustomer-singer	0.1.2	https://docs.airbyte.com/integrations/sources/kustomer	undefined	api	alpha	With Kustomer, deliver faster, richer experiences to your customers with omnichannel messaging, a unified customer view, and AI-powered automations.	https://www.kustomer.com/
source-kyriba	2022-07-13	Kyriba	547dc08e-ab51-421d-953b-8f3745201a8c	airbyte/source-kyriba	0.1.0	https://docs.airbyte.com/integrations/sources/kyriba	undefined	api	alpha	Kyriba enterprise software manages treasury, risk management, payments, working capital and API real-time connectivity for the office of the CFO and ...	https://www.kyriba.com/
source-lemlist	2021-10-27	Lemlist	789f8e7a-2d28-11ec-8d3d-0242ac130003	airbyte/source-lemlist	0.1.0	https://docs.airbyte.com/integrations/sources/lemlist	undefined	api	alpha	Start conversations that get replies ... Personalize cold emails, automate follow-ups, and engage with leads across all channels. lemlist is your sales automation ...	https://www.lemlist.com/
source-lever-hiring	2021-09-10	Lever Hiring	3981c999-bd7d-4afc-849b-e53dea90c948	airbyte/source-lever-hiring	0.1.3	https://docs.airbyte.com/integrations/sources/lever-hiring	leverhiring.svg	api	alpha	Lever Hirehttps://hire.lever.co	https://hire.lever.co/
source-linkedin-ads	2021-09-25	LinkedIn Ads	137ece28-5434-455c-8f34-69dc3782f451	airbyte/source-linkedin-ads	0.1.12	https://docs.airbyte.com/integrations/sources/linkedin-ads	linkedin.svg	api	generally_available	Targeted Self-Service Ads - business LinkedIn	https://business.linkedin.com/marketing-solutions/ads
source-linkedin-pages	2022-08-11	LinkedIn Pages	af54297c-e8f8-4d63-a00d-a94695acc9d3	airbyte/source-linkedin-pages	0.1.0	https://docs.airbyte.com/integrations/sources/linkedin-pages	linkedin.svg	api	alpha	Create a LinkedIn Company Page - Business Linkedin	https://business.linkedin.com/marketing-solutions/linkedin-pages
source-linnworks	2021-11-16	Linnworks	7b86879e-26c5-4ef6-a5ce-2be5c7b46d1e	airbyte/source-linnworks	0.1.5	https://docs.airbyte.com/integrations/sources/linnworks	linnworks.svg	api	alpha	Linnworks is an eCommerce platform that helps online retailers automate key processes, reduce costs and grow their business.	https://www.linnworks.com/
source-lokalise	2022-10-28	Lokalise	45e0b135-615c-40ac-b38e-e65b0944197f	airbyte/source-lokalise	0.1.0	https://docs.airbyte.com/integrations/sources/lokalise	undefined	api	alpha	Lokalise is a continuous localization and translation management platform. It integrates into your development workflow so you can ship localized products, ...	https://lokalise.com/
source-looker	2020-12-25	Looker	00405b19-9768-4e0c-b1ae-9fc2ee2b2a8c	airbyte/source-looker	0.2.7	https://docs.airbyte.com/integrations/sources/looker	looker.svg	api	alpha	Looker is a business intelligence software and big data analytics platform that helps you explore, analyze and share real-time business analytics easily.	https://www.looker.com/
source-mailchimp	2020-11-13	Mailchimp	b03a9f3e-22a5-11eb-adc1-0242ac120002	airbyte/source-mailchimp	0.2.15	https://docs.airbyte.com/integrations/sources/mailchimp	mailchimp.svg	api	generally_available	Grow your business on your terms with Mailchimp's All-In-One marketing, automation & email marketing platform. Easy to use - start for free!	https://mailchimp.com/
source-mailerlite	2022-10-28	MailerLite	dc3b9003-2432-4e93-a7f4-4620b0f14674	airbyte/source-mailerlite	0.1.0	https://docs.airbyte.com/integrations/sources/mailerlite	undefined	api	alpha	Today, most email marketing services offer automation and landing pages, but MailerLite is truly distinguished by its simple, beautiful UI and attentive ...	https://www.mailerlite.com/
source-mailgun	2021-12-08	Mailgun	5b9cb09e-1003-4f9c-983d-5779d1b2cd51	airbyte/source-mailgun	0.1.0	https://docs.airbyte.com/integrations/sources/mailgun	mailgun.svg	api	alpha	Developers and product teams love using Mailgun to communicate with their users ... Based on real customer reviews, G2 Crowd named us the #1 transactional email ...	https://www.mailgun.com/
source-mailjet-mail	2022-10-28	Mailjet Mail	56582331-5de2-476b-b913-5798de77bbdf	airbyte/source-mailjet-mail	0.1.0	https://docs.airbyte.com/integrations/sources/mailjet-mail	undefined	api	alpha	Mailjet: Email Delivery Service for Marketing & Developer Teamshttps://www.mailjet.com	https://www.mailjet.com/
source-mailjet-sms	2022-10-29	Mailjet SMS	6ec2acea-7fd1-4378-b403-41a666e0c028	airbyte/source-mailjet-sms	0.1.0	https://docs.airbyte.com/integrations/sources/mailjet-sms	undefined	api	alpha	SMS API for Developers - Send Transactional SMS Easily	https://www.mailjet.com/products/sms/
source-marketo	2021-09-24	Marketo	9e0556f4-69df-4522-a3fb-03264d36b348	airbyte/source-marketo	0.1.11	https://docs.airbyte.com/integrations/sources/marketo	marketo.svg	api	generally_available	Explore Marketo Engage ; Identify, engage, and accelerate the customer experience. Engage the right customers through behavior tracking; Easily build and scale ...	https://www.marketo.com/
source-metabase	2022-06-23	Metabase	c7cb421b-942e-4468-99ee-e369bcabaec5	airbyte/source-metabase	0.2.0	https://docs.airbyte.com/integrations/sources/metabase	metabase.svg	api	alpha	Team doesn't speak SQL? No problem. Metabase is the easy, open-source way to help everyone in your company work with data like an analyst.	https://www.metabase.com/
source-microsoft-teams	2020-12-22	Microsoft teams	eaf50f04-21dd-4620-913b-2a83f5635227	airbyte/source-microsoft-teams	0.2.5	https://docs.airbyte.com/integrations/sources/microsoft-teams	microsoft-teams.svg	api	alpha	Log In | Microsoft Teams	https://www.microsoft.com/en-us/microsoft-teams/log-in
source-mixpanel	2021-07-20	Mixpanel	12928b32-bf0a-4f1e-964f-07e12e37153a	airbyte/source-mixpanel	0.1.28	https://docs.airbyte.com/integrations/sources/mixpanel	mixpanel.svg	api	generally_available	Unlock valuable customer insights to better convert, engage, and retain users with Mixpanel's powerful, self-serve product analytics. Try it free.	https://mixpanel.com/
source-monday	2021-11-07	Monday	80a54ea2-9959-4040-aac1-eee42423ec9b	airbyte/source-monday	0.1.4	https://docs.airbyte.com/integrations/sources/monday	monday.svg	api	alpha	monday.com Work OS is an open platform where anyone can create the tools they need to run every aspect of their work.	https://monday.com/
source-mongodb	2021-03-09	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	With a document data model that maps to how developers think and code and a powerful, unified query API, MongoDB powers faster, more flexible application ...	https://www.mongodb.com/
source-mongodb-strict-encrypt	2021-10-11	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	With a document data model that maps to how developers think and code and a powerful, unified query API, MongoDB powers faster, more flexible application ...	https://www.mongodb.com/
source-mongodb-v2	2021-09-09	MongoDb	b2e713cd-cc36-4c0a-b5bd-b47cb8a0561e	airbyte/source-mongodb-v2	0.1.19	https://docs.airbyte.com/integrations/sources/mongodb-v2	mongodb.svg	database	alpha	With a document data model that maps to how developers think and code and a powerful, unified query API, MongoDB powers faster, more flexible application ...	https://www.mongodb.com/
source-mssql	2020-11-14	Microsoft SQL Server (MSSQL)	b5ea17b1-f170-46dc-bc31-cc744ca984c1	airbyte/source-mssql	0.4.24	https://docs.airbyte.com/integrations/sources/mssql	mssql.svg	database	alpha	SQL Server Downloads | Microsoft	https://www.microsoft.com/en-us/sql-server/sql-server-downloads
source-mssql-strict-encrypt	2021-10-08	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	SQL Server 2019 - Microsoft	https://www.microsoft.com/en-us/sql-server/sql-server-2019
source-my-hours	2021-12-21	My Hours	722ba4bf-06ec-45a4-8dd5-72e4a5cf3903	airbyte/source-my-hours	0.1.1	https://docs.airbyte.com/integrations/sources/my-hours	my-hours.svg	api	alpha	With My Hours you can track all your work. Add a detailed description to your time logs and expenses. We know time tracking is a hassle, so we've designed ...	https://myhours.com/
source-mysql	2020-10-30	MySQL	435bb9a5-7887-4809-aa58-28c27df0d7ad	airbyte/source-mysql	1.0.9	https://docs.airbyte.com/integrations/sources/mysql	mysql.svg	database	beta	MySQL.com ... MySQL Enterprise Edition ... MySQL Cluster enables users to meet the database challenges of next generation web, cloud, and communications ...	https://www.mysql.com/
source-mysql-strict-encrypt	2021-10-05	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	MySQL.com ... MySQL Enterprise Edition ... MySQL Cluster enables users to meet the database challenges of next generation web, cloud, and communications ...	https://www.mysql.com/
source-nasa	2022-10-28	NASA	1a8667d7-7978-43cd-ba4d-d32cbd478971	airbyte/source-nasa	0.1.0	https://docs.airbyte.com/integrations/sources/nasa	nasa.svg	api	alpha	nasa.comhttp://www.nasa.com	http://www.nasa.com/
source-netsuite	2022-09-22	Netsuite	4f2f093d-ce44-4121-8118-9d13b7bfccd0	airbyte/source-netsuite	0.1.1	https://docs.airbyte.com/integrations/sources/netsuite	undefined	api	alpha	NetSuite is the leading integrated cloud business software suite, including business accounting, ERP, CRM and ecommerce software.	https://www.netsuite.com/portal/home.shtml
source-news-api	2022-10-27	News API	df38991e-f35b-4af2-996d-36817f614587	airbyte/source-news-api	0.1.0	https://docs.airbyte.com/integrations/sources/news-api	undefined	api	alpha	News API – Search News and Blog Articles on the Webhttps://newsapi.org	https://newsapi.org/
source-notion	2021-11-19	Notion	6e00b415-b02e-4160-bf02-58176a0ae687	airbyte/source-notion	0.1.10	https://docs.airbyte.com/integrations/sources/notion	notion.svg	api	generally_available	Used by the world's most innovative teams · MatchGroup. Notion is a workspace that adapts to your needs. It's as minimal or as powerful as you need it to be.	https://www.notion.so/
source-okta	2021-06-02	Okta	1d4fdb25-64fc-4569-92da-fcdca79a8372	airbyte/source-okta	0.1.13	https://docs.airbyte.com/integrations/sources/okta	okta.svg	api	alpha	Okta: The World's #1 Identity Platformhttps://www.okta.com	https://www.okta.com/
source-omnisend	2022-10-31	Omnisend	e7f0c5e2-4815-48c4-90cf-f47124209835	airbyte/source-omnisend	0.1.0	https://docs.airbyte.com/integrations/sources/omnisend	undefined	api	alpha	Ecommerce email marketing, automated emails and SMS - switch to Omnisend and increase your sales without increasing your workload.	https://www.omnisend.com/
source-onesignal	2021-10-22	OneSignal	bb6afd81-87d5-47e3-97c4-e2c2901b1cf8	airbyte/source-onesignal	0.1.2	https://docs.airbyte.com/integrations/sources/onesignal	onesignal.svg	api	alpha	OneSignal integrates with leading analytics, CMS, and eCommerce solutions including Amplitude, Mixpanel, Segment, HubSpot, Shopify, WordPress, and many more.	https://onesignal.com/
source-openweather	2021-12-16	OpenWeather	d8540a80-6120-485d-b7d6-272bca477d9b	airbyte/source-openweather	0.1.6	https://docs.airbyte.com/integrations/sources/openweather	undefined	api	alpha	OpenWeather is a team of IT experts and data scientists that has been practising deep weather data science. For each point on the globe, OpenWeather provides ...	https://openweathermap.org/
source-oracle	2021-04-01	Oracle DB	b39a7370-74c3-45a6-ac3a-380d48520a83	airbyte/source-oracle	0.3.21	https://docs.airbyte.com/integrations/sources/oracle	oracle.svg	database	alpha	Database | Oracle	https://www.oracle.com/database/
source-oracle-strict-encrypt	2021-10-14	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Oracle offers a comprehensive and fully integrated stack of cloud applications and cloud platform services.	https://www.oracle.com/
source-orb	2022-02-21	Orb	7f0455fb-4518-4ec0-b7a3-d808bf8081cc	airbyte/source-orb	0.1.4	https://docs.airbyte.com/integrations/sources/orb	orb.svg	api	alpha	orb.comhttps://orb.com	https://orb.com/
source-orbit	2022-06-27	Orbit	95bcc041-1d1a-4c2e-8802-0ca5b1bfa36a	airbyte/source-orbit	0.1.1	https://docs.airbyte.com/integrations/sources/orbit	undefined	api	alpha	Orbithttps://www.orbit.com	https://www.orbit.com/
source-oura	2022-10-28	Oura	2bf6c581-bec5-4e32-891d-de33036bd631	airbyte/source-oura	0.1.0	https://docs.airbyte.com/integrations/sources/oura	undefined	api	alpha	Oùra |https://www.oura.com · Translate this page	https://www.oura.com/
source-outreach	2021-11-23	Outreach	3490c201-5d95-4783-b600-eaf07a4c7787	airbyte/source-outreach	0.1.2	https://docs.airbyte.com/integrations/sources/outreach	outreach.svg	api	alpha	We empower churches to reach communities for Christ using customizable church banners, feather flags, roll up banners, church signs and displays, ...	https://www.outreach.com/
source-pardot	2021-11-19	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Marketing Cloud Account Engagement - Salesforce.comhttp://pardot.com	http://pardot.com/
source-paypal-transaction	2021-07-09	Paypal Transaction	d913b0f2-cc51-4e55-a44c-8ba1697b9239	airbyte/source-paypal-transaction	0.1.10	https://docs.airbyte.com/integrations/sources/paypal-transaction	paypal.svg	api	generally_available	The Paypal Transaction API is used to get the history of transactions for a PayPal account.	https://developer.paypal.com/docs/api/transaction-search/v1/
source-paystack	2021-11-02	Paystack	193bdcb8-1dd9-48d1-aade-91cadfd74f9b	airbyte/source-paystack	0.1.1	https://docs.airbyte.com/integrations/sources/paystack	paystack.svg	api	alpha	Paystack is a growth engine for a new generation of innovative, forward-looking organizations operating in Africa. Air Peace logo. Filmhouse Cinemas logo.	https://paystack.com/
source-persistiq	2022-01-22	PersistIq	3052c77e-8b91-47e2-97a0-a29a22794b4b	airbyte/source-persistiq	0.1.0	https://docs.airbyte.com/integrations/sources/persistiq	persistiq.svg	api	alpha	PersistIQ: Affordable, Easy-to-Use Sales Email Automation ...https://www.persistiq.com	https://www.persistiq.com/
source-pinterest	2021-11-09	Pinterest	5cb7e5fe-38c2-11ec-8d3d-0242ac130003	airbyte/source-pinterest	0.1.8	https://docs.airbyte.com/integrations/sources/pinterest	pinterest.svg	api	generally_available	Discover recipes, home ideas, style inspiration and other ideas to try.	https://www.pinterest.com/
source-pipedrive	2021-07-19	Pipedrive	d8286229-c680-4063-8c59-23b9b391c700	airbyte/source-pipedrive	0.1.13	https://docs.airbyte.com/integrations/sources/pipedrive	pipedrive.svg	api	alpha	Pipedrive is the easy-to-use, #1 user-rated CRM tool. Get more qualified leads and grow your business. Sign up for a 14-day free trial.	https://www.pipedrive.com/
source-pivotal-tracker	2022-04-05	Pivotal Tracker	d60f5393-f99e-4310-8d05-b1876820f40e	airbyte/source-pivotal-tracker	0.1.0	https://docs.airbyte.com/integrations/sources/pivotal-tracker	undefined	api	alpha	Pivotal Tracker: Agile Project Managementhttps://www.pivotaltracker.com	https://www.pivotaltracker.com/
source-plaid	2020-12-31	Plaid	ed799e2b-2158-4c66-8da4-b40fe63bc72a	airbyte/source-plaid	0.3.2	https://docs.airbyte.com/integrations/sources/plaid	plaid.svg	api	alpha	Plaid helps all companies build fintech solutions by making it easy, safe and reliable for people to connect their financial data to apps and services.	https://plaid.com/
source-pokeapi	2021-05-05	PokeAPI	6371b14b-bc68-4236-bfbd-468e8df8e968	airbyte/source-pokeapi	0.1.5	https://docs.airbyte.com/integrations/sources/pokeapi	pokeapi.svg	api	alpha	PokeAPI proudly announces Beta support for GraphQL. Access our free console at ... name: "limber"; url: "api/v2/ability/7/".	https://pokeapi.co/
source-postgres	2020-11-03	Postgres	decd338e-5647-4c0b-adf4-da0e75f5a750	airbyte/source-postgres	1.0.22	https://docs.airbyte.com/integrations/sources/postgres	postgresql.svg	database	generally_available	PostgreSQL: The world's most advanced open source databasehttps://www.postgresql.org	https://www.postgresql.org/
source-postgres-strict-encrypt	2021-09-27	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	PostgreSQL: The world's most advanced open source databasehttps://www.postgresql.org	https://www.postgresql.org/
source-posthog	2021-06-09	PostHog	af6d50ee-dddf-4126-a8ee-7faee990774f	airbyte/source-posthog	0.1.7	https://docs.airbyte.com/integrations/sources/posthog	posthog.svg	api	alpha	PostHog is the all-in-one platform for building better products - with product analytics, feature flags, session recordings, a/b testing, heatmaps, ...	https://posthog.com/
source-prestashop	2021-07-27	Prestashop	d60a46d4-709f-4092-a6b7-2457f7d455f5	airbyte/source-prestashop	0.2.0	https://docs.airbyte.com/integrations/sources/presta-shop	prestashop.svg	api	alpha	PrestaShop is a reliable software that has enabled us to constantly evolve our site over the last 6 years, all while allowing us to work independently, ...	https://www.prestashop.com/en
source-primetric	2022-09-22	Primetric	f636c3c6-4077-45ac-b109-19fc62a283c1	airbyte/source-primetric	0.1.0	https://docs.airbyte.com/integrations/sources/presta-shop	primetric.svg	api	alpha	Futures Start Here ... We believe in enhancing lives and positively impacting the world for the better through advancements in the way we all learn, assess, and ...	https://www.prometric.com/
source-python-http-tutorial	2021-04-27	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Python - HTTP Requests - Tutorialspoint	https://www.tutorialspoint.com/python_network_programming/python_http_requests.htm
source-qualaroo	2021-12-22	Qualaroo	b08e4776-d1de-4e80-ab5c-1e51dad934a2	airbyte/source-qualaroo	0.1.2	https://docs.airbyte.com/integrations/sources/qualaroo	qualaroo.svg	api	alpha	Qualaroo: User Research & Customer Feedback Softwarehttps://qualaroo.com	https://qualaroo.com/
source-quickbooks-singer	2021-04-17	QuickBooks	29b409d9-30a5-4cc8-ad50-886eb846fea3	airbyte/source-quickbooks-singer	0.1.5	https://docs.airbyte.com/integrations/sources/quickbooks	qb.svg	api	alpha	QuickBooks®: Official Site | Smart Tools. Better Business.http://quickbooks.com	http://quickbooks.com/
source-rd-station-marketing	2022-10-28	RD Station Marketing	fb141f29-be2a-450b-a4f2-2cd203a00f84	airbyte/source-rd-station-marketing	0.1.0	https://docs.airbyte.com/integrations/sources/rd-station-marketing	undefined	api	alpha	RD Station - The Complete Platform to Build a Real Growth...	https://www.rdstation.com/en/
source-recharge	2021-05-20	Recharge	45d2e135-2ede-49e1-939f-3e3ec357a65e	airbyte/source-recharge	0.2.4	https://docs.airbyte.com/integrations/sources/recharge	recharge.svg	api	generally_available	Worldwide mobile recharge: send credit and data to any phone. Recipient's country: ... Save time with the Recharge.com app. Recharge anytime, anywhere in ...	https://www.recharge.com/en/us
source-recurly	2020-11-25	Recurly	cd42861b-01fc-4658-a8ab-5d11d0510f01	airbyte/source-recurly	0.4.1	https://docs.airbyte.com/integrations/sources/recurly	recurly.svg	api	alpha	Recurly is the subscription and billing platform trusted by leading brands to grow their recurring revenue faster, smarter, and stronger.	https://recurly.com/
